iter	MAE	RMSE
509	0.2735829938	0.4126139675
510	0.2735440602	0.412540424
511	0.2734791863	0.4124547897
512	0.273423701	0.4123488472
513	0.2733910165	0.4122738241
514	0.2733609316	0.4122084991
515	0.2732165187	0.4120098949
516	0.2732053937	0.4119692513
517	0.273104375	0.4118363354
518	0.273040488	0.4117089756
519	0.2729719621	0.4115823888
520	0.2728933183	0.4114340973
521	0.2728178995	0.4113184911
522	0.2727952583	0.4112756808
523	0.2726978071	0.4111700513
524	0.2726040512	0.4110550078
525	0.272539624	0.4109766521
526	0.2725096598	0.4109081075
527	0.2724397911	0.410826338
528	0.2723698657	0.410715644
529	0.2723317934	0.4106765131
530	0.2722445118	0.4105388499
531	0.2721289447	0.4103879225
532	0.2718783033	0.410159189
533	0.2717935946	0.4100164698
534	0.2717623279	0.4099433873
535	0.2717252262	0.4098693739
536	0.2715494031	0.4096581597
537	0.2714955969	0.4095547048
538	0.2713050469	0.4092915484
539	0.2711802577	0.409103882
540	0.2711160229	0.4089946139
541	0.2710573075	0.4089131779
542	0.2710275566	0.4088439119
543	0.2709301474	0.4087243383
544	0.2707166894	0.4085163529
545	0.2706699986	0.4084371443
546	0.2704116923	0.4081716099
547	0.2703521439	0.4080734262
548	0.2703126754	0.407996483
549	0.2702702076	0.4079095485
550	0.2702345808	0.4078367075
551	0.2701723166	0.4077347412
552	0.2698702752	0.4074421268
553	0.269834353	0.4074055442
554	0.2697044585	0.4071911527
555	0.2696822738	0.4071420209
556	0.269635316	0.4070843939
557	0.2695856382	0.4070041878
558	0.269372461	0.4067988906
559	0.2693131197	0.4067272092
560	0.2692113126	0.4065989436
561	0.2689869721	0.4063703392
562	0.2689214587	0.4062838151
563	0.268824865	0.4061193402
564	0.2686176897	0.4059341514
565	0.2685931828	0.4058914296
566	0.2685334642	0.4057800546
567	0.268397014	0.4056633539
568	0.2682984938	0.405513696
569	0.2682262905	0.4053926335
570	0.2681784846	0.4053021511
571	0.2681436944	0.4052448267
572	0.2680889399	0.4051473323
573	0.2680074611	0.4050513228
574	0.2678603164	0.4049134555
575	0.2677374459	0.4047769023
576	0.2676781457	0.4046538109
577	0.2676202939	0.4045679873
578	0.2675914072	0.4045325422
579	0.2675537067	0.4044647814
580	0.2673896748	0.4042390201
581	0.2673450878	0.4041697
582	0.2673313519	0.4041365536
583	0.2672698443	0.4040210841
584	0.267175332	0.4038922253
585	0.2671358505	0.4038183631
586	0.2670388281	0.4036635813
587	0.2670099405	0.4035689411
588	0.2669699909	0.4034934186
589	0.266755078	0.4033017485
590	0.2666443472	0.4032083611
591	0.266556853	0.4031005625
592	0.2664563448	0.4029382407
593	0.2663895039	0.4028187728
594	0.2662740242	0.4026980006
595	0.2660991761	0.4024576706
596	0.2660655144	0.4024007993
597	0.2659952374	0.4022831469
598	0.2659444901	0.4022126788
599	0.2658005674	0.4020323944
600	0.2656219675	0.4017819612
601	0.2655665221	0.4016836849
602	0.2655481505	0.4016594694
603	0.2654662889	0.4015144014
604	0.2652291829	0.4012959622
605	0.2652149602	0.4012697159
606	0.2651779579	0.4012092662
607	0.2651433895	0.4011424951
608	0.2650994579	0.4010756614
609	0.2650713264	0.4010305757
610	0.2650287987	0.4009660607
611	0.2649748443	0.4009032438
612	0.2649397497	0.4008409367
613	0.2647803929	0.4006640102
614	0.2646938098	0.4005463992
615	0.2646380947	0.4004859354
616	0.2645084504	0.4002864537
617	0.2643515561	0.4000596276
618	0.2643054263	0.3999841484
619	0.2641984771	0.3998649317
620	0.2640835814	0.3997272347
621	0.2640312207	0.3996219407
622	0.2639491061	0.3995336828
623	0.2638580764	0.3993862259
624	0.2637980954	0.3992933618
625	0.2636245806	0.399125236
626	0.2634528314	0.3989592097
627	0.2634159527	0.3988852216
628	0.2633713738	0.398806624
629	0.2633547189	0.3987668878
630	0.2632204816	0.3985404757
631	0.2631857439	0.3984595071
632	0.2631310918	0.3983898791
633	0.2630398424	0.39826004
634	0.2629776534	0.3981667956
635	0.2627873383	0.3979989871
636	0.2627398892	0.3979350799
637	0.2626603188	0.3978284608
638	0.2626401227	0.3977899704
639	0.2625494278	0.3976871832
640	0.2624796552	0.3975848451
641	0.2624222721	0.3975039628
642	0.2623664622	0.3973827041
643	0.2622289151	0.3971812764
644	0.2621798564	0.3971359901
645	0.2620443511	0.3970141637
646	0.2619873848	0.3969356135
647	0.2619016598	0.3968556474
648	0.2618541477	0.3967834601
649	0.2618088549	0.3967019802
650	0.261644596	0.3965428405
651	0.2616144023	0.3964941089
652	0.2614703353	0.3963729165
653	0.2614254263	0.3962886068
654	0.2614052239	0.396268368
655	0.2613464987	0.3961593061
656	0.2612836384	0.3960833867
657	0.2612456721	0.3960283672
658	0.2611464172	0.3959144113
659	0.2611165045	0.3958708042
660	0.2610129812	0.3956971298
661	0.2609456098	0.3955980926
662	0.2607951765	0.3954109272
663	0.2606508837	0.3952669288
664	0.2606241114	0.3952109422
665	0.2604934179	0.395017642
666	0.2604330654	0.3949404137
667	0.2603545135	0.3948450908
668	0.260157446	0.3945522496
669	0.2601072037	0.3944656747
670	0.2600646579	0.3944063881
671	0.260023609	0.3943477362
672	0.2598794781	0.3941703474
673	0.2598327678	0.3940843284
674	0.2598007937	0.3940392888
