make,model,n,distinct_years,annual_dep_rate,method
VOLVO,XC60,66,18,0.1604494558455044,fit_high
FIAT,500,65,15,0.0882582213557479,fit_high
NISSAN,X TERRA,65,16,0.0948068555448337,fit_high
NISSAN,KICKS,64,10,0.11387444285947379,fit_high
LINCOLN,NAVIGATOR,64,24,0.1780754510970073,fit_high
PEUGEOT,PARTNER,64,21,0.1398914470446072,fit_high
TOYOTA,HIGHLANDER,64,19,0.11335258093729816,fit_high
MG,RX5,64,9,0.10300700659817197,fit_high
KIA,PICANTO,64,21,0.14370563524714364,fit_high
FORD,RANGER,63,23,0.17227834806328612,fit_high
PEUGEOT,3008,63,15,0.11293486699853295,fit_high
JAGUAR,F-PACE,63,9,0.16336307282326656,fit_high
MERCEDES BENZ,AMG GT,62,11,0.10715447255128441,fit_high
KIA,K5,62,15,0.1435566069087717,fit_high
MITSUBISHI,ATTRAGE,61,12,0.11015592697574406,fit_high
NISSAN,ROGUE,60,18,0.10765946094335332,fit_high
HYUNDAI,VELOSTER,59,13,0.16638102845955383,fit_high
BMW,X1,59,16,0.14187080066442725,fit_high
SUZUKI,GRAND VITARA,58,22,0.10813245608458155,fit_high
CHEVROLET,IMPALA,58,9,0.15589177171842383,fit_high
AUDI,Q3,58,13,0.13002916201580084,fit_high
NISSAN,NAVARA,58,16,0.13823968607937387,fit_high
KIA,SOUL,58,15,0.13288106605178673,fit_high
VOLKSWAGEN,JETTA,58,16,0.16637653888234372,fit_high
BMW,320I,58,26,0.15682323791838715,fit_high
BENTLEY,BENTAYGA,57,10,0.12877151492517847,fit_high
HYUNDAI,AZERA,56,21,0.1430259692242134,fit_high
HONDA,HRV,55,13,0.11092280991074688,fit_high
BMW,750LI,55,17,0.17592091907891183,fit_high
TOYOTA,TUNDRA,54,26,0.12130792644862554,fit_high
TESLA,MODEL 3,54,10,0.14992791372851944,fit_high
TOYOTA,COASTER,54,21,0.114062213071906,fit_high
Nissan,Patrol,54,11,0.1242046298060232,fit_high
MITSUBISHI,LANCER EX,53,10,0.12262433277448992,fit_high
ISUZU,D-MAX,53,27,0.11145798567008969,fit_high
HYUNDAI,CRETA,53,11,0.11068223663438748,fit_high
KIA,CARENS,53,17,0.13502242609363602,fit_high
ROLLS ROYCE,PHANTOM,53,23,0.1263717240204788,fit_high
TOYOTA,TACOMA,52,27,0.13645845843484683,fit_high
MERCEDES BENZ,G63 AMG,51,14,0.07908633925354547,fit_high
BMW,X7,51,8,0.11146045269340898,fit_high
LEXUS,RX450H,51,13,0.09927867287474013,fit_high
FORD,ECOSPORT,50,9,0.14093077468192516,fit_high
KIA,BONGO,50,22,0.16689458877440622,fit_high
JAGUAR,XF,50,13,0.1742659693531281,fit_high
LEXUS,GS350,50,14,0.14564909512370539,fit_high
KIA,SELTOS,50,7,0.10632430060319742,fit_high
NISSAN,MURANO,50,20,0.1162984161995384,fit_high
SKODA,OCTAVIA,49,19,0.15156430410982924,fit_high
CADILLAC,CTS,49,14,0.15564252051275296,fit_high
NISSAN,JUKE,49,8,0.10071580145428971,fit_high
HYUNDAI,KONA,49,9,0.11542746740860532,fit_high
BMW,530I,49,22,0.15754005482679245,fit_high
JEEP,COMPASS,49,14,0.12961258165627876,fit_high
VOLKSWAGEN,BEETLE,49,20,0.19110816180250312,fit_high
MERCEDES BENZ,G500,48,25,0.12479772093793451,fit_high
LEXUS,LS 430,48,6,-0.03486884202218432,fit_high
CHEVROLET,CAPRICE,48,15,0.14783307336054496,fit_high
HAVAL,H6,48,8,0.11731938678911069,fit_high
LAND ROVER,DISCOVERY SPORT,48,10,0.1417128948013745,fit_high
CHEVROLET,TRAILBLAZER,47,17,0.14629638878556894,fit_high
FORD,FUSION,46,12,0.15322626223647573,fit_high
TOYOTA,LAND CRUISER PICKUP 70,46,15,0.13505800939516222,fit_high
BMW,330I,46,20,0.16198190477802799,fit_high
TOYOTA,PRIUS,46,17,0.16523853808575706,fit_high
KIA,CADENZA,45,11,0.12690822754816922,fit_high
MG,ZS,45,9,0.12509512897076192,fit_high
BMW,740LI,45,16,0.12509421531084963,fit_high
MERCEDES BENZ,GLC300,45,10,0.13461097822427037,fit_high
MITSUBISHI,GALANT,45,13,0.16950667885058557,fit_high
MERCEDES BENZ,S350,45,15,0.12562002326680832,fit_high
BMW,730LI,45,13,0.1671873126188207,fit_high
KIA,PEGAS,45,7,0.1440087780222884,fit_high
GENESIS,G70,45,9,0.10969341190867221,fit_high
BMW,X2,45,9,0.1535518159467154,fit_high
HYUNDAI,PALISADE,45,8,0.130648925277147,fit_high
NISSAN,MICRA,45,11,0.0850887089415705,fit_high
JAGUAR,XJ,45,18,0.1401285251480997,fit_high
VOLKSWAGEN,TERAMONT,44,9,0.1599753297165305,fit_high
TOYOTA,LAND CRUISER PICK UP,44,18,0.10393755384040393,fit_high
MG,5,44,10,0.12463186966089423,fit_high
CHEVROLET,CRUZE,44,11,0.11168598479805592,fit_high
CHEVROLET,SPARK,44,16,0.16502910322925812,fit_high
TESLA,MODEL S,44,13,0.1582223189237274,fit_high
MINI,COUNTRYMAN,43,10,0.13244594437237123,fit_high
Toyota,Rav4,43,11,0.10450271391272858,fit_high
MITSUBISHI,ECLIPSE CROSS,43,9,0.09644714738483362,fit_high
NISSAN,PICK UP,42,21,0.1305473309802775,fit_high
MERCEDES BENZ,CLS350,42,15,0.14264732068249963,fit_high
NISSAN,QASHQAI,42,9,0.08602892178478594,fit_high
BENTLEY,FLYING SPUR,42,12,0.1529595069349008,fit_high
LINCOLN,NAUTILUS,42,7,0.14718762552068665,fit_high
LINCOLN,MKX,42,13,0.11638452472544003,fit_high
MASERATI,GHIBLI,42,10,0.20675388604298228,fit_high
FORD,FIESTA,42,11,0.09675976944632192,fit_high
GEELY,COOLRAY,41,8,0.10037333299530316,fit_high
LEXUS,LX600,41,5,0.0798655979688967,fit_medium
CHEVROLET,AVEO,41,16,0.14442302330229728,fit_high
TOYOTA,4RUNNER,41,21,0.1041772724622223,fit_high
AUDI,A7,41,14,0.16361088094654108,fit_high
AUDI,Q8,41,7,0.1197184365400995,fit_high
AUDI,TT,40,19,0.14263521046750993,fit_high
MASERATI,QUATTROPORTE,40,17,0.15565306541599444,fit_high
TOYOTA,COROLLA CROSS,40,6,0.028054530717965154,fit_high
SUBARU,FORESTER,40,20,0.14785685146131777,fit_high
MERCEDES BENZ,C63 AMG,40,16,0.14032811377796972,fit_high
MASERATI,LEVANTE,39,7,0.1350085976555817,fit_high
BMW,Z4,39,20,0.150166132880443,fit_high
SUZUKI,ERTIGA,39,12,0.11654342656631,fit_high
KIA,TELLURIDE,38,7,0.1053008867728652,fit_high
GENESIS,G80,38,9,0.1522332903518563,fit_high
MERCEDES BENZ,S63 AMG,38,16,0.18072881608069502,fit_high
SUBARU,LEGACY,38,19,0.13454228195797235,fit_high
HONDA,ACCORD COUPE,37,12,0.10509536675886633,fit_high
MERCEDES BENZ,A200,37,10,0.1445036339732213,fit_high
FORD,TRANSIT,37,13,0.13153253878448035,fit_high
LEXUS,IS250,37,10,0.1725893981954839,fit_high
INFINITI,QX70,37,8,0.08219467784897438,fit_high
MERCEDES BENZ,CLA250,37,13,0.1384885925872369,fit_high
INFINITI,G37,37,7,0.13078577939347547,fit_high
TOYOTA,RAV 4,37,20,0.004515450570923174,fit_high
Toyota,CAMRY HYBRID,37,11,0.11896653954232361,fit_high
TESLA,MODEL X,36,11,0.10684403547065358,fit_high
LEXUS,ES250,36,13,0.10449833702730593,fit_high
PEUGEOT,208,36,12,0.15523096465600816,fit_high
PEUGEOT,BOXER,36,15,0.12171244076640686,fit_high
BMW,M5,36,17,0.15513749244425534,fit_high
MG,HS,36,8,0.11665956020849877,fit_high
PORSCHE,718 CAYMAN,35,9,0.11947959987527002,fit_high
BMW,530i,35,20,0.1567642013529189,fit_high
ROLLS ROYCE,GHOST,35,17,0.11275266992052335,fit_high
CADILLAC,XT5,35,9,0.10357422118306292,fit_high
MERCEDES BENZ,C250,35,10,0.14778402257961976,fit_high
TOYOTA,86,35,9,0.08552405919489314,fit_high
CHEVROLET,BLAZER,35,6,0.09535337607014627,fit_high
MERCEDES BENZ,V250,34,9,0.14760498693357993,fit_high
SUZUKI,BALENO,34,10,0.10719314545609482,fit_high
VOLVO,S60,34,20,0.16670450427653816,fit_high
BMW,520i,34,19,0.16839660114015065,fit_high
TESLA,MODEL Y,34,7,0.11584139144280281,fit_high
KIA,K3,33,13,0.13892229433784498,fit_high
KIA,MOHAVE,33,12,0.16517519399257363,fit_high
JETOUR,T2,33,5,0.049205977282724245,fit_medium
MG,6,33,10,0.06656507786538213,fit_high
PORSCHE,TAYCAN,33,7,0.0008786203423446493,fit_high
LAND ROVER,LR4,33,8,0.06632299364129379,fit_high
PEUGEOT,508,33,13,0.18266585318412343,fit_high
NISSAN,PATROL PICK UP,33,16,0.14994707656483675,fit_high
BMW,M4,33,12,0.13115846377132045,fit_high
HYUNDAI,PORTER,32,19,0.12933223562287843,fit_high
LAND ROVER,DISCOVERY,32,12,0.09873700170470034,fit_high
SUZUKI,APV,32,11,0.12252075043093513,fit_high
SUZUKI,DZIRE,32,11,0.0999614257945588,fit_high
FORD,BRONCO,32,5,0.07264270787538485,fit_medium
KIA,FORTE,32,15,0.1245754266178003,fit_high
SUBARU,IMPREZA,31,21,0.1579582895876107,fit_high
CHEVROLET,AVALANCHE,31,12,0.17807353388819747,fit_high
KIA,SEDONA,31,13,0.1417531757291034,fit_high
BMW,320i,31,21,0.16221665214591074,fit_high
HONDA,JAZZ,31,12,0.15557451492751073,fit_high
BMW,420I,31,13,0.12628562548032818,fit_high
TOYOTA,RAIZE,31,5,0.09864310352914474,fit_medium
HYUNDAI,STARIA,31,5,0.07480972179207845,fit_medium
HAVAL,JOLION,31,4,0.07141422941050024,fit_medium
DAIHATSU,TERIOS,31,13,0.0902159923444259,fit_high
CHEVROLET,EQUINOX,31,8,0.15468047951149888,fit_high
SUZUKI,VITARA,31,14,-0.019465545681333074,fit_high
MINI,COOPER COUNTRYMAN,31,14,0.1132049091551035,fit_high
LEXUS,NX350,31,5,0.11239507078220123,fit_medium
HYUNDAI,GENESIS,31,11,0.1163002972701912,fit_high
PEUGEOT,5008,31,12,0.134208376854845,fit_high
CHEVROLET,TRAX,30,10,0.13900302998390213,fit_high
NISSAN,370Z,30,12,0.10468207499585824,fit_high
FORD,FIGO,30,10,0.15843346902914468,fit_high
PORSCHE,CAYMAN,30,12,0.14164262322548693,fit_high
VOLKSWAGEN,CC,30,7,0.09901458819123377,fit_high
RENAULT,SYMBOL,30,10,0.13450090067284792,fit_high
FORD,F-350,30,16,0.10725957754700466,fit_high
FORD,FLEX,30,9,0.1832855858145247,fit_high
VOLVO,S90,30,8,0.09653974844685476,fit_high
JAGUAR,F-TYPE,30,10,0.13541931895085946,fit_high
VOLKSWAGEN,T-ROC,30,7,0.0922660581332968,fit_high
SUZUKI,CIAZ,30,10,0.1356376959486617,fit_high
Nissan,Kicks,30,9,0.13789138140769608,fit_high
CADILLAC,SRX,30,12,0.169962542747653,fit_high
SUBARU,BRZ,30,11,0.1133176362009094,fit_high
MITSUBISHI,XPANDER,30,7,0.09393679583845382,fit_high
BMW,330i,30,20,0.1584770996252508,fit_high
MG,RX8,30,7,0.035787060297365,fit_high
NISSAN,GT-R,30,15,0.10979265770078517,fit_high
BMW,650I,29,10,0.18280716293392063,fit_medium
TOYOTA,AURION,29,11,0.12382824533603776,fit_medium
MERCEDES BENZ,E63 AMG,29,16,0.16709939764674775,fit_medium
LINCOLN,MKZ,29,8,0.09237127506772524,fit_medium
LEXUS,ES300 H,29,9,0.1298612616357926,fit_medium
HYUNDAI,AVANTE,29,12,0.12396592329274281,fit_medium
HYUNDAI,GRAND STAREX,29,13,0.10294044192128726,fit_medium
DODGE,RAM,29,16,0.10394677775336592,fit_medium
JAGUAR,E-PACE,29,5,0.10890451091164632,fit_medium
ALFA ROMEO,GIULIA,29,8,0.07983044596889233,fit_medium
SUBARU,WRX,29,12,0.10717872856386179,fit_medium
GMC,ENVOY,29,8,0.09158582824204986,fit_medium
LEXUS,RC350,28,10,0.10505988887000017,fit_medium
NISSAN,TITAN,28,16,0.09823724537827372,fit_medium
JEEP,RENEGADE,28,7,0.06984236527600507,fit_medium
JAGUAR,XE,28,8,0.19581962894540283,fit_medium
MAZDA,CX-3,28,10,0.08762271902058183,fit_medium
CHEVROLET,EXPRESS,28,17,0.14193520609250643,fit_medium
MAZDA,CX-30,28,7,0.09262558306749225,fit_medium
RENAULT,FLUENCE,28,7,0.1763603934001563,fit_medium
MERCEDES BENZ,A250,28,10,0.12945730326605798,fit_medium
JETOUR,DASHING,28,5,0.12374993803474188,fit_medium
LEXUS,NX200T,28,5,0.10081587865466457,fit_medium
CADILLAC,ESCALADE ESV,28,10,0.14386941302445355,fit_medium
MERCEDES BENZ,S550,28,12,0.18238157008171274,fit_medium
MERCEDES BENZ,S600,28,16,0.1847381396976231,fit_medium
LEXUS,GS300,28,12,0.13088689969748757,fit_medium
DAIHATSU,SIRION,28,14,0.14148897654336345,fit_medium
INFINITI,QX56,27,10,0.20040820397160608,fit_medium
CADILLAC,CT5,27,7,0.13312412733427503,fit_medium
TOYOTA,SUPRA,27,12,0.09375343210003795,fit_medium
MERCEDES BENZ,GLS450,27,9,0.18229590536846185,fit_medium
BMW,120I,27,13,0.1497776651939724,fit_medium
TOYOTA,AVANZA,27,7,0.09017258981465348,fit_medium
PEUGEOT,EXPERT,27,9,0.11577665961035455,fit_medium
VOLKSWAGEN,SCIROCCO,27,8,0.12785244018819253,fit_medium
LINCOLN,TOWN CAR,27,12,0.16300385726632105,fit_medium
LEXUS,UX200,27,6,0.07894772003949058,fit_medium
Jeep,Wrangler,26,10,0.13608227403629158,fit_medium
CADILLAC,ATS,26,7,0.18711475933199062,fit_medium
TOYOTA,RUSH,26,7,0.039126600820139745,fit_medium
TOYOTA,LAND CRUISER 70,26,11,0.07783290478478921,fit_medium
ROLLS ROYCE,CULLINAN,26,8,0.10382686949907216,fit_medium
MERCEDES BENZ,ML350,26,13,0.16238605617638902,fit_medium
MITSUBISHI,FUSO ROSA,26,14,0.14074502113946608,fit_medium
LAMBORGHINI,HURACAN,26,10,0.06922458529177222,fit_medium
PEUGEOT,2008,26,9,0.14650146750939452,fit_medium
PEUGEOT,308,26,11,0.16872892406266138,fit_medium
LEXUS,ES300,26,9,0.12613905544861725,fit_medium
LINCOLN,CORSAIR,26,6,0.18887917627944117,fit_medium
GAC,GS3,26,7,0.14669838168567506,fit_medium
CHANGAN,CS95,26,7,0.1202732035016082,fit_medium
BMW,M3,26,19,0.13435046513199067,fit_medium
MERCEDES BENZ,VITO,26,11,0.14112658413176138,fit_medium
MERCEDES BENZ,E500,26,13,0.19200887376781095,fit_medium
INFINITI,Q60,25,9,0.12179886244879723,fit_medium
BMW,430I,25,11,0.13177838304067324,fit_medium
GENESIS,GV70,25,6,0.03107907149981859,fit_medium
TOYOTA,WISH,25,9,0.08064002646374635,fit_medium
GAC,GS4,25,7,0.15604964124897902,fit_medium
GAC,GS8,25,9,0.13965596200785857,fit_medium
PEUGEOT,301,25,8,0.12925052134248982,fit_medium
MG,GT,25,5,0.12399694151756468,fit_medium
JEEP,GLADIATOR,25,5,0.09081383312027502,fit_medium
MG,ONE,25,4,0.15822508688250525,fit_medium
LEXUS,NX300,25,5,0.07002701308596315,fit_medium
FORD,TERRITORY,25,5,0.12870880574766286,fit_medium
SUBARU,XV,24,11,0.13321530343126542,fit_medium
HONDA,ODYSSEY J,24,6,0.11926591178136348,fit_medium
GEELY,MONJARO,24,4,0.1211773150788058,fit_medium
Kia,Sportage,24,9,0.09708562222480155,fit_medium
TOYOTA,ALTIS,24,10,0.036175482308150375,fit_medium
CHEVROLET,LUMINA,24,11,0.2075049675244086,fit_medium
MERCEDES BENZ,GLE450,24,10,0.1464526676377269,fit_medium
MAZDA,E2000,24,12,0.1270944652608289,fit_medium
MERCEDES BENZ,GL500,24,12,0.14681835082835248,fit_medium
ROX,01,24,3,0.13757086964351017,fit_medium
JAC,S3,24,10,0.1465770080192571,fit_medium
PORSCHE,718 BOXSTER,24,8,0.0746105962015795,fit_medium
RENAULT,SAFRANE,24,9,0.13928572010005313,fit_medium
RENAULT,CAPTUR,24,6,0.12872081454572049,fit_medium
MAZDA,2,24,9,0.1721571365832204,fit_medium
VOLVO,S40,24,10,0.13780931405922547,fit_medium
KIA,MORNING,24,11,0.09015927260187262,fit_medium
BMW,528I,24,10,0.15110239277846838,fit_medium
PORSCHE,BOXSTER,24,14,0.10571933019158763,fit_medium
JETOUR,X70,23,6,0.0684136697046569,fit_medium
AUDI,S3,23,11,0.12185816485792456,fit_medium
AUDI,S8,23,13,0.15048583058947573,fit_medium
BMW,420I GRAN COUPE,23,11,0.1448599226515186,fit_medium
LAMBORGHINI,URUS,23,7,0.061906135605357404,fit_medium
MERCEDES BENZ,S400,23,10,0.12921129510095408,fit_medium
NISSAN,X-TRAIL,23,7,-0.010476318907013171,fit_medium
Honda,Accord,23,9,0.12581025132935986,fit_medium
MERCEDES BENZ,CL500,23,15,0.18808702634930263,fit_medium
SKODA,KODIAQ,23,9,0.1315033462509142,fit_medium
CHANGAN,CS35 PLUS,23,6,0.07327819712845707,fit_medium
MERCEDES BENZ,C43 AMG,22,11,0.15386505195352373,fit_medium
Hyundai,Tucson,22,8,0.11011543590852324,fit_medium
INFINITI,Q70,22,7,0.08304742761007189,fit_medium
Toyota,LAND CRUISER,22,9,0.05792915859173586,fit_medium
MERCEDES BENZ,A35 AMG,22,7,0.13504983195998854,fit_medium
MAZDA,MX-5,22,17,0.09969092282494063,fit_medium
VOLVO,XC40,22,8,0.11551179351007579,fit_medium
CHEVROLET,SONIC,22,8,0.1431532647119229,fit_medium
TOYOTA,C-HR,22,8,0.1355370436602369,fit_medium
MERCEDES BENZ,C350,22,11,0.16569768615996638,fit_medium
MERCEDES BENZ,A45,22,14,0.15280383587646496,fit_medium
CADILLAC,XT4,22,7,0.19314219686389766,fit_medium
MITSUBISHI,L300,22,10,0.145509450769725,fit_medium
BMW,IX,22,4,0.10967910003273795,fit_medium
VOLKSWAGEN,POLO,22,11,0.10964461891891797,fit_medium
VOLKSWAGEN,ID 4 CROZZ,22,4,-0.0788893599004945,fit_medium
HYUNDAI,GRAND I10,22,9,0.13861609468229397,fit_medium
HYUNDAI,I10,22,12,0.14061515270681912,fit_medium
MERCEDES BENZ,E250,22,11,0.12221665693982053,fit_medium
CADILLAC,CT4,22,5,0.10267046330222407,fit_medium
BMW,750Li,22,14,0.2018649055470304,fit_medium
JETOUR,X70 PLUS,22,4,0.06223207728861757,fit_medium
JEEP,GRAND CHEROKEE L,22,6,0.10782918226510052,fit_medium
BMW,740I,22,8,0.1363517538170912,fit_medium
SKODA,SUPERB,21,9,0.10064187034058303,fit_medium
CHANGAN,UNI-T,21,5,0.0572593307964695,fit_medium
MERCEDES BENZ,CLA45 AMG,21,11,0.13178129503256675,fit_medium
Chevrolet,Captiva,21,7,0.08308840432056397,fit_medium
LAMBORGHINI,AVENTADOR,21,12,0.07391864804088999,fit_medium
Volkswagen,GOLF R,21,8,0.13655284096001452,fit_medium
