make,model,annual_dep_rate
BYD,FORMULA LEOPARD,0.0780079694362509
BYD,FORMULA LEOPARD S,0.0780079694362509
BYD,HAN,0.0939757277722332
BYD,HAN L,0.0780079694362509
BYD,LEOPARD,0.0941315478534974
BYD,LEOPARD 05,0.0780079694362509
BYD,LEOPARD 3,0.0283882783882767
BYD,LEOPARD 5,0.1885655448352465
BYD,LEOPARD 7,-0.1338659392049834
BYD,LEOPARD 7 (2WD),0.0780079694362509
BYD,LEOPARD 7 (4WD),0.0780079694362509
BYD,LEOPARD 7 ULTRA,0.0780079694362509
BYD,LEOPARD 7(2WD),0.0780079694362509
BYD,LEOPARD 8,0.0578804546407726
BYD,LEOPARD S/STATION,0.0780079694362509
BYD,LEOPARD TAI3,0.0780079694362509
BYD,LEOPARD/STATION,0.0780079694362509
BYD,QIN,0.0780079694362509
BYD,QIN L,0.1230932106310356
BYD,QIN L DM,0.0780079694362509
BYD,QIN PLUS,0.129874
BYD,QIN PLUS DM-I,0.0780079694362509
BYD,QIN PLUS(2WD),0.0780079694362509
BYD,QIN PRO,0.0780079694362509
BYD,SEA LION,0.4216310005783695
BYD,SEA LION 07EV,0.0780079694362509
BYD,SEAGULL,0.1027049007957898
BYD,SEAL,-0.0395482503583302
BYD,SEAL 05,0.0780079694362509
BYD,SEAL 06,0.0780079694362509
BYD,SEAL 07,0.0780079694362509
BYD,SEAL 50,0.0780079694362509
BYD,SEAL 6,0.123093
BYD,SEAL 7,0.123093
BYD,SEALION,-0.3501501501501596
BYD,SEALION 05,0.0780079694362509
BYD,SEALION 06,-0.1538461538461493
BYD,SEALION 5,0.107519
BYD,SEALION 7,-0.0678137651821859
BYD,SEALION 7 AWD,0.0780079694362509
BYD,SEALION 7 RWD,0.0780079694362509
BYD,SEALION 8,0.166817359855336
BYD,SEL 50,0.0780079694362509
BYD,SHARK,0.0780079694362509
BYD,SHARK (PICK UP),0.0780079694362509
BYD,SHARK 6,0.181383
BYD,SLINGSHOT,0.0780079694362509
BYD,SONG,0.0780079694362509
BYD,SONG (2WD),0.0780079694362509
BYD,SONG FLAGSHIP,-0.2317460317460296
BYD,SONG L,0.0021287919105905
BYD,SONG L DMI CAR,0.0780079694362509
BYD,SONG PLUS,0.1075187503748249
BYD,SONG PLUS EV,0.0780079694362509
BYD,SONG PRO,0.0780079694362509
BYD,STATION,0.0780079694362509
BYD,TANG,0.15353294860201
BYD,TI 7,0.094132
BYD,UNKNOWN,0.805053025577043
BYD,VAN,0.0780079694362509
BYD,XIA STATION,0.0780079694362509
BYD,YUAN PLUS,0.0780079694362509
BYD,YUAN UP,0.0780079694362509
BYD - DENZA,B5,0.1195580092498166
BYD - DENZA,B8 JEEP,0.1195580092498166
BYD - DENZA,D9,0.1195580092498166
BYD - DENZA,N9,0.1195580092498166
BYD - YANGWANG,U8,0.0858526709429499
CADILLAC,ATS,0.1871147593319906
CADILLAC,ATS-V,0.1346695538846248
CADILLAC,BLS,0.1346695538846248
CADILLAC,BROGH,0.1346695538846248
CADILLAC,BROGHAM,0.1346695538846248
CADILLAC,BROUGHTAM,0.0781153370516757
CADILLAC,BROYGAM,0.078115
CADILLAC,CADILLAC SEVILLE,0.1346695538846248
CADILLAC,CATERA,0.1769451082468989
CADILLAC,CT4,0.102670463302224
CADILLAC,CT5,0.133124127334275
CADILLAC,CT5-V,0.1346695538846248
CADILLAC,CT6,-0.1254706871581867
CADILLAC,CTS,0.1556425205127529
CADILLAC,CTS-V,0.2412226558864156
CADILLAC,DEVILLE,-0.2135161225990283
CADILLAC,DTS,0.167800355600968
CADILLAC,ELDORADO,0.1346695538846248
CADILLAC,ESCALADE,0.1612359906731326
