model_slug,model_name,year,trim_name,price_aed,url,scraped_at
toyota-avalon,Avalon,2012,2012 Hyundai Azera,111000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2012/,2026-06-11T12:41:35Z
toyota-avalon,Avalon,2013,Original Starting Price,128000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2013/,2026-06-11T12:41:37Z
toyota-avalon,Avalon,2013,S/SE,128000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2013/,2026-06-11T12:41:37Z
toyota-avalon,Avalon,2013,SE Plus/Limited,149000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2013/,2026-06-11T12:41:37Z
toyota-avalon,Avalon,2013,2013 Hyundai Azera,111000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2013/,2026-06-11T12:41:37Z
toyota-avalon,Avalon,2013,2013 Ford Taurus,99000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2013/,2026-06-11T12:41:37Z
toyota-avalon,Avalon,2013,2013 Dodge Charger,110000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2013/,2026-06-11T12:41:37Z
toyota-avalon,Avalon,2014,Original Starting Price,128000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2014/,2026-06-11T12:41:39Z
toyota-avalon,Avalon,2014,S/SE,128000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2014/,2026-06-11T12:41:39Z
toyota-avalon,Avalon,2014,SE Plus/Limited,149000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2014/,2026-06-11T12:41:39Z
toyota-avalon,Avalon,2014,2014 Hyundai Azera,111000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2014/,2026-06-11T12:41:39Z
toyota-avalon,Avalon,2014,2014 Ford Taurus,99000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2014/,2026-06-11T12:41:39Z
